Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Execute Trunko,,,,2020-03-13 19:24:12,2020-03-13 19:24:43,31.530s,PASSED
,,,,,,,
Test Cases/Kraken - BM Adapter/Execute Trunko,,,,2020-03-13 19:24:12,2020-03-13 19:24:43,31.088s,PASSED
"runFeatureFile(""Include/features/Kraken - BM Adapter/Execute Trunko.feature"")",,,,2020-03-13 19:24:13,2020-03-13 19:24:43,30.640s,PASSED
