Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Execute Trunko,,,,2020-03-17 19:00:41,2020-03-17 19:01:24,43.319s,PASSED
,,,,,,,
Test Cases/Kraken - BM Adapter/Execute Trunko,,,,2020-03-17 19:00:42,2020-03-17 19:01:24,42.756s,PASSED
"runFeatureFile(""Include/features/Kraken - BM Adapter/Execute Trunko.feature"")",,,,2020-03-17 19:00:42,2020-03-17 19:01:24,42.354s,PASSED
