Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Execute Trunko,,,,2020-03-19 00:29:38,2020-03-19 00:30:17,38.426s,PASSED
,,,,,,,
Test Cases/Kraken - BM Adapter/Execute Trunko,,,,2020-03-19 00:29:39,2020-03-19 00:30:17,37.933s,PASSED
"runFeatureFile(""Include/features/Kraken - BM Adapter/Execute Trunko.feature"")",,,,2020-03-19 00:29:40,2020-03-19 00:30:17,37.284s,PASSED
