Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Execute Trunko,,,,2020-03-17 15:11:38,2020-03-17 15:12:07,28.915s,FAILED
,,,,,,,
Test Cases/Kraken - BM Adapter/Execute Trunko,,,,2020-03-17 15:11:38,2020-03-17 15:12:07,28.418s,FAILED
"runFeatureFile(""Include/features/Kraken - BM Adapter/Execute Trunko.feature"")",,,,2020-03-17 15:11:39,2020-03-17 15:12:07,27.939s,FAILED
